genre,description,year,ancestor
contenance angloise,musical polyphonic style,,polyphony
contra dance music,music played at contra dances,,folk dance music
cool jazz,sub-genre of jazz associated with the U.S. West Coast,1948,jazz
coon song,genre of music that presented a stereotype of black people,1840,comedy song
copla,Andalusian musical genre,,copla
coplas cajamarquinas,music genre,,music of Peru
core tribe,variant of gqom,,gqom
coronation anthem,piece of choral music written to accompany the coronation of a monarch,,anthem
corporate anthem,"song written to celebrate companies, motivate employees, or entice sponsors",,anthem
corrido,musical genre,,traditional folk song
corridos prohibidos,music genre,,regional Mexican
corridos tumbados,music subgenre,,sierreña
corsicana,music genre,,
cosmic black metal,atmospheric black metal subgenre that mixes elements of space rock/ambient,1994,atmospheric black metal
cosmic country,music genre,,country rock
cosmic disco,genre of disco,1975,disco
costillar,music genre and type of dance,,dance
country and Irish,musical subgenre in Ireland formed by mixing North American country style music with Irish influences,1964,country music
country blues,music genre,1927,blues
country boogie,country music that arose from western swing in the mid-1940s,,traditional country music
country folk,"music style, fusion of country and folk",1968,country music
country metal,musical subgenre; fusion between country rock and heavy metal,,heavy metal music
country music,genre of American popular music,1920,popular music
country music in Atlanta,overview of country music in Atlanta,,country music
country pop,fusion genre of country music and pop music,1975,pop music
country rap,music genre,1990,hip-hop
country rock,subgenre fusion of rock music and country music,1965,rock music
country soul,music genre,,soul
country yodel,music genre,,yodel
countrypolitan,"music genre, and evolution of the Nashville sound in the 1960s and 1970s focusing further on Pop music elements",,Nashville sound
couplet,"ambiguous, political, or satirical songs in an number of European countries, usually performed in cabaret settings",,song
coupé-décalé,music genre,2000,zouglou
courante,classical dance music form,,classical dance music
cowboy poetry,genre of poetry and storytelling,,poetry
cowboy pop,subgenre of country pop music,,soft rock
cowpunk,Punk rock subgenre and music scene,1982,punk music
crab canon,an arrangement of two musical lines that are complementary and backward,,
crabcore,music genre,,electronicore
crack rock steady,music genre,1993,hardcore punk
crank wave,music genre or scene,,post-punk
crime jazz,music genre,,jazz
cringe pop,sub-genre of the pop music,,pop music
criolla,genre of Cuban music which is closely related to the music of the Cuban Coros de Clave and a genre of Cuban popular music called Clave,,
crossbreed,"music genre, fusion of darkstep and hardcore techno",2006,hardcore
crossover,term applied to musical works or performers combining two or more genres,,composed musical work
crossover jazz,style of jazz that incorporates elements from other genres,1975,jazz
crossover prog,genre of music,,progressive rock
crossover thrash,music genre; musical fusion of thrash metal and hardcore punk,1985,hardcore punk
cruise,music genre,2019,electronic dance music
crunk,genre of hip-hop,1997,hip-hop
crunk&B,music genre,2004,crunk
crunkcore,crunk and post-hardcore music combo,2005,post-hardcore
crusade song,music genre,,medieval poetry
crust punk,music genre,1986,hardcore punk
crustgrind,music genre,,grindcore
csárdás,musical genre and form,,dance music
cuarteto,"musical genre born in Córdoba, Argentina",1940,music of Argentina
cuatro music,music from Latin American countries using the cuatro as its base instrument,,music of Latin America
cubaton,music genre,,reggaeton
cuddlecore,music genre,,twee pop
cueca,musical genre and folkloric dance of South America,,indigenous American dance
cueca brava,"music genre, Chilean song and dance",,Chilean cueca
cueca chilota,one of the regional variants of the Chilean homonymous dance,,Chilean cueca
cueca porteña,music genre,,Chilean cueca
cueca rock,music genre,,Chilean rock
cueca tradicional,music genre and type of dance,,Chilean cueca
cumbia,music genre and dance from Colombia,,tropical music
cumbia amazónica,music genre,,Peruvian cumbia
cumbia andina mexicana,music genre,,Andean music
cumbia boliviana,music subgenre,,cumbia
cumbia del sureste,music genre,,Mexican cumbia
cumbia lunática,music genre,,cumbia
cumbia norteña mexicana,music genre,,Mexican cumbia
cumbia norteña peruana,music genre,,Peruvian cumbia
cumbia pegassera,music genre,,cumbia
cumbia pop,Uruguayan music genre,,Latin pop
cumbia rap,music genre,1990,cumbia
cumbia rebajada,music genre,,cumbia sonidera
cumbia romántica,music genre,,cumbia
cumbia salvadoreña,music genre,,cumbia
cumbia sanjuanera,music genre,,Peruvian cumbia
cumbia santafesina,"musical style from Santa Fe, Argentina",,cumbia
cumbia sinfónica,music genre,,cumbia sonidera
cumbia sonidera,music genre,,Mexican cumbia
cumbia sureña,music genre,,cumbia
cumbia sureña peruana,music genre,,cumbia sureña
cumbia turra,style of cumbia Argentina springing from the turro urban tribe,,Argentine cumbia
cumbia venezolana,music genre,,cumbia
cumbia villera,Argentinian music genre,1999,Argentine cumbia
cumbiaton,music genre,,reggaeton
cumbión,music genre and type of dance,,dance
cuplé,"Spanish musical style, light and popular, which at times could be risqué and spicy by the standards of the time",,music of Spain
currulao,musical genre and folkloric dance,,music of Latin America
cururu,music genre; type of dance; rhythm,,Brazilian folk music
cuándo,music genre and type of dance,,Argentinian folk dance
cyber metal,subgenre of industrial metal,1995,industrial metal
cybergoth music,music genre,,industrial music
cybergrind,subgenre of grindcore and hardcore punk,,grindcore
cyberpunk music,music genre,,electronic music
cymrucana,music genre,,
cân llofft stabl,Welsh folk song sung by farm workers,,traditional folk song
cântec batrânesc,traditional form of ballad,,ballad
cải lương,form of modern folk opera in Vietnam,,music of Vietnam
da capo aria,musical form prevalent in the Baroque era,,Baroque music
dabke,Levantine folk dance and music genre,,Levantine Arabic music
daina,traditional form of music from Latvia,,Latvian folk music
dakka marrakchia,musical genre and form,,traditional folk music
dance,piece of music with a dance rhythm,,
dance band music,music genre,,dance music
dance music,music composed specifically to facilitate or accompany dancing,,entertainment music
dance-pop,dance-oriented pop music,1980,pop music
dance-punk,music genre,1975,post-punk
dance-punk revival,music genre,2000,dance-punk
dance-rock,post-disco genre,1983,rock music
dancecore,music genre,,hardcore
dancefloor drum and bass,"form of simpler, lighter and more melodic drum and bass",2004,drum and bass
dancehall,genre of Jamaican popular music,1970,reggae
dancehall pop,music genre,,pop music
dangak,genre of Korean court music,,Korean court music
dangdut,Indonesia-origin popular music genre,1960,popular music
danger music,experimental form of avant-garde music and performance art based on the concept that some pieces of music can or will harm either the listener or the performer,,experimental music
danjiri-bayashi,music genre,,matsuri-bayashi
dansband music,Swedish music genre,,pop music
dansbandspop,pop-inspired music played by dansbands,,dansband music
dansktop,music genre,1968,pop music
danza o habanera,music genre,,
danzón,music genre and type of dance,,music of Cuba
dappankuthu,music genre and type of dance,,Indian folk dance
dariacore,EDM microgenre,2020,electronic dance music
dark ambient,music genre,1988,ambient music
dark cabaret,genre of cabaret influenced by goth and punk,1980,popular music
dark disco,music genre,2013,electronic dance music
dark electro,music genre,1989,electronic body music
dark folk,subgenre of neofolk,,neofolk
dark garage,music genre,,UK garage
dark house,subgenre of house,,house music
dark industrial,music genre,,post-industrial music
dark jazz,music genre,,jazz
dark metal,subgenre of heavy metal,1994,extreme metal
dark music,music genre,,
dark plugg,music genre,2016,plugg music
dark pop,music genre,,alternative pop
dark progressive house,music genre,,progressive house
dark psytrance,subgenre of psytrance,1996,psychedelic trance
dark rock,music genre,,alternative rock
dark wave,music genre,1980,post-punk
darkcore,subgenre of breakbeat hardcore,1992,breakbeat hardcore
darkstep,subgenre of drum and bass,1997,drum and bass
darksynth,music genre,2010,synthwave
dashti,music genre,,Persian traditional music
dastgah music,music genre,,Persian traditional music
data sonification music,music genre,,experimental music
daycore,music genre,,vaporwave
death 'n' roll,fusion genre of death metal and rock 'n' roll,1992,death metal
death country,music genre,,country music
death industrial,subgenre of industrial music,,industrial music
death jazz,subgenre of jazz,,Japanese jazz
death metal,extreme subgenre of heavy metal music,1985,extreme metal
death-doom,genre of heavy metal music,1992,doom metal
deathchant hardcore,music genre,,hardcore
deathcore,fusion genre that combines metalcore and death metal,1986,metalcore
deathgrind,fusion genre of death metal and grindcore,1988,grindcore
deathrash,subgenre of heavy metal,1980,extreme metal
deathrock,rock music subgenre,1978,punk rock
deathstep,music genre,2010,brostep
debayashi,music genre,,hayashi
debayashi in rakugo,music genre,,yose-bayashi
dechovka,brass band genre popular in Czechia and Slovakia,,brass band music
deconstructed club,experimental electronic music genre,2010,experimental club music
deejay,form of reggae in which a deejay (similar to an MC in hip hop) talks his lyrics over a pre-recorded reggae rhythm,,reggae
deep drum and bass,music genre,,drum and bass
deep funk,subgenre of funk music,,funk
deep funk revival,music genre,,contemporary R&B
deep house,subgenre of house music that originated in the 1980s,1985,house music
deep soul,music genre,,soul
deep tech,music genre,2009,tech house
deep techno,subgenre of techno,,techno
deep trance,subgenre of trance music,,trance
deepkho,"rap and deep house combination, developed in France",2005,hip-hop
dek bass,music genre,,electronic dance music
demenzial rock,Italian music scene,,rock music
demostyle,music genre,,tracker music
dengbêjî,type of Kurdish folk song repertorie,,Kurdish folk music
dennery segment,music genre,,soca music
denpa song,Japanese music genre,1992,J-pop
densha shōka,music genre,,song
depressive black metal,music genre,1993,black metal
depressive darkness,music genre,,rapping
depro-punk,music genre,,punk rock
der song,"type of German ballad, sometimes close to a jazz rhythm, often parodic, grotesque, containing caustic satire and criticism of society",,
desamor,music genre,,Latin trap
descant,musical term with several meanings,,medieval music
descarga,Cuban improvised jam session; music genre,,music of Cuba
desert blues,music style of Northern Africa,,blues
desgarrada,Portuguese folk singing genre,,Portuguese folk music
dhaanto,music genre and type of dance,,folk dance
dhandhanggula,music genre,,tembang macapat
dhol tasha,music genre,,music of South Asia
dhrupad,ancient genre of classical Indian music,,Hindustani classical music
dialect music,music genre,,music of the Netherlands
dialogue,type of vocal music in which the opposition or success of different voices takes place; vocal musical genre in Italy and Protestant Germany of 16th century,1600,cantata
diane,music genre,,drumline
digicore,music genre,2018,hip-hop
digital cumbia,music genre,1997,cumbia
digital dancehall,music genre,,reggae
digital fusion,music genre,2005,electronic music
digital hardcore,music genre that melds hardcore punk with electronic music,1992,hardcore
digital rock,music genre,,rock music
dimotiko,Greek music genre,,Greek folk music
dirge,"somber song or lament expressing mourning or grief, such as would be appropriate for performance at a funeral",,song
dirty blues,blues music about taboo subjects,,blues
dirty rap,sexually explicit subgenre of hip hop,1997,hip-hop
dirty south,music genre,,hip-hop
disco,genre of dance music and a subculture that emerged in the 1970s from the United States' urban nightlife scene,1972,rhythm and blues
disco house,subgenre of house,,house music
disco polo,music genre,1988,dance-pop
disco rap,early disco-fused form of hip hop music,,old-school hip-hop
disco-funk,style of music combining disco and funk / soul from the late 1970s to today,,disco
disco-pop,genre of music,,disco
disk drive music,music created using an arrangement of disk drives and an Arduino controller,,electronic music
dissonant black metal,music genre,2001,black metal
dissonant death metal,music genre,1998,technical death metal
dithyramb,literary and music genre,,eulogy
diva house,subgenre of house,1988,house music
divertimento,"musical form; musical genre, with most of its examples from the 18th century",,composed musical work
divertissement,light piece of music for a small group of players; choreographic interlude in an opera or a dance suite inserted in a ballet,,classical music
diwan,music genre,,
djanba,music genre,,indigenous Australian music
djent,"musical genre, subgenre of progressive metal",1995,math metal
doble paso,reggaetón genre,,reggaeton
dobrado,music genre,,march
dohori,Nepalese folk music genre,,traditional folk song
doina,poetic and melancholic Romanian folk song,,traditional folk song
dolewave,Australian music genre or scene,,indie rock
dongjing,Chinese ritual music,,ritual music
doo-wop,style of rhythm & blues,1930,rhythm and blues
doom metal,subgenre of heavy metal music,1980,extreme metal
doomcore,"genre of hardcore EDM, featuring slow, sludgy sound with somber, terrifying, and post-apocalyptic atmosphere",1993,hardcore
doomerwave,music genre,2018,rock music
doomgaze,music genre,2001,post-metal
doomshop phonk,music genre,2011,Memphis rap
doskpop,music genre,1995,spacesynth
downer metal,subgenre of heavy metal,1976,heavy metal music
downtempo,electronic music genre,1988,chill-out music
downtempo deathcore,music genre,1991,metalcore
doyo,Japanese children's songs,,music of Japan
dream folk,music genre,,folk music
dream house,music genre,1992,house music
dream metal,subgenre of heavy metal,,heavy metal music
dream pop,music genre,1982,indie rock
dream trance,subgenre of trance music,1994,trance
dreampunk,music genre,2014,vaporwave
dreamwave,music genre,,synthwave
dreck-electro,music genre,,electronic dance music
drift phonk,music genre,2016,electronic music
drill,genre of hip-hop music,2010,hip-hop
drill and bass,subgenre of electronic music,1995,intelligent dance music
drinking song,song sung while drinking alcohol,,traditional folk music
drone ambient,music genre,1989,drone music
drone metal,subgenre of heavy metal,1992,metal music
drone music,minimalist music genre,1958,minimalist music
drone noise wall,subgenre of noise music,,drone music
drum and bass,electronic music genre,1992,electronic dance music
drum and bugle corps music,music genre,,marching band music
drum cadence,work played exclusively by the percussion section of a modern marching band,,percussion music
drumfunk,subgenre of drum and bass,1994,drum and bass
drumless hip hop,music genre,2007,hip-hop
drumline,section of percussion instruments usually played as part of a musical marching ensemble,,percussion music
drumstep,"genre of electronic dance music, fusion of drum and bass with dubstep",2007,brostep
dub music,music genre originating from Jamaica,1960,popular music
dub poetry,form of performance poetry,1975,poetry
dub reggae,music genre,,reggae
dub techno,subgenre of techno,1993,dubtronica
dubstep,genre of electronic dance music that originated in South London,2001,bass music (EDM)
dubstyle,music genre,2010,hardstyle
dubtronica,English music subgenre; electronic music influenced by dub music,,electronica
dubwise drum and bass,music genre,2004,drum and bass
dudácká muzika,music genre,,traditional folk music
duma,sung epic poem originating in Ukraine,,epic poem
dump,English musical genre from the 16th and early 17th centuries,,
dungeon chip,music genre,,dungeon synth
dungeon rap,music genre,,Memphis rap
dungeon sound,music genre,2006,dubstep
dungeon synth,music genre,1991,popular music
durma,music genre,,tembang macapat
dystopian music,music with dystopian themes,,
e-punk,music genre,,punk rock
e-saew song,song type,,traditional folk song
early American blues,music genre,,early acoustic blues
early R&B,music genre,1940,rhythm and blues
early acoustic blues,music genre,,acoustic blues
early baroque music,first period of musical production in Baroque style,1600,Baroque music
early country music,music genre,,traditional country music
early dancehall,music genre,1978,reggae
early hardcore,style of gabber,1990,gabber
early hardstyle,music genre,,hardstyle
early jazz,music genre,1900,jazz
early modern Japanese music,music of Japan,,music of Japan
early music,"music from the Middle Ages, Renaissance, and Baroque",,classical music
early ragga,music genre,1985,ragga
early reggae,music genre,1965,reggae
easy listening,popular music genre,1948,popular music
easy pop,music genre,,pop music
easycore,music genre,2004,metalcore
eccojams,music genre,,vaporwave
eclecticism in music,music genre,,eclecticism
eclogue,musical and theatrical genre,,
educational music,"genre of music in which songs, lyrics, or other musical elements are used as a method of teaching and/or learning",,functional music
egg punk,music genre,2014,art punk
egwu ogene,"Nigerian genre of music using the ogene as the main instrument, commonly found in South-East Nigeria",,Igbo music
eikyoku,music genre,,gagaku
electric Chicago blues,music genre,,electric blues
electric Delta blues,music genre,,electric blues
electric Memphis blues,music genre,,Memphis blues
electric Texas blues,music genre,,electric blues
electric blues,type of blues music,1945,blues
electric country blues,music genre,,electric blues
electro,"genre of electronic dance music that originated in the 1980s, characterized by the use of synthesizers, drum machines, and minimalistic, mechanical rhythms",1980,electronic dance music
electro deathcore,fusion of electro with deathcore,,deathcore
electro dub,music genre,,electronic music
electro funk,music genre,,funk
electro gqom,variant of gqom,,gqom
electro hip-hop,"1980s early hip-hop genre, influenced by electro music",1980,hip-hop
electro hop,"genre of electronic pop music that features rapping, which emerged and became popular in the mid-2000s under the influence of electropop, electro house and pop rap",2007,electronic pop
electro house,subgenre of house music,1997,house music
electro latino,musical genre,2008,electronic dance music
electro swing,music genre,1994,electronic dance music
electro trance,fusion of trance and electro (house),,trance
electro urban,style of music that appeared in the early 2000s and has the particularity of bringing together DJs of electro or house music with rappers,,house music
electro wave,permanent duplicate item of Q19938910,,
electro-R&B,genre of music combining electronic music and contemporary R&B,1999,electronic music
electro-disco,genre of disco music,1976,disco
electro-folk,genre of electronic music inspired by folk or using folk instruments as its basis,1990,electronic music
electro-goth,music genre,,electronic music
electro-industrial,music genre,1985,electronic music
electro-jazz,music genre,,jazz fusion
electro-orchestral music,music genre,,electronic music
electro-techno,music genre,,techno
electroacoustic improvisation,musical genre,,free improvisation
electroacoustic music,music genre,1956,electronic music
electroclash,genre of electronic dance music,1995,electronic dance music
electrogaze,music genre,,electronic music
electronic body music,music genre,1982,post-industrial music
electronic dance music,broad genre of electronic music,1977,electronic music
electronic forró,musical genre,,forró
electronic music,"music that mainly employs electronic musical instruments, digital instruments and circuitry-based music technology",1920,music
electronic pop,group of various pop music genres with an emphasis on electronic instruments or production,1969,pop music
electronic rock,music genre,1965,electronic music
electronica,broad group of electronic-based music genres,1991,electronic music
electronicore,fusion genre of metalcore and electronic music,2000,metalcore
electropop,"genre of electronic pop music that emerged in the late 1970s and gained mainstream popularity in the mid-2000s, defined by its crisp, compressed synthesizer sounds and warm, crunchy production style",1998,electronic pop
electrotango,music genre,2000,electronic dance music
elegy,"chamber piece of music of a thoughtful, sad tone",,composed musical work
eleki,music genre,1965,music of Japan
eletrobrega,music genre,2017,pop music
eletrofunk,music genre,2011,house music
elevator music,"subtype of background music, characterized by simple instrumental themes from ""soft"" popular music, or ""light"" classical music being performed by slow strings",,music on hold
embatērion,marching-song,,marching song
embolada,music genre,,coco
emo,"derivative of post hardcore rock music with emotional, introspective lyrics",1984,alternative rock
emo pop,"fusion genre combining emo with pop-punk, pop music, or both",1995,alternative rock
emo rap,fusion genre of hip hop and emo,2013,hip-hop
emo revival,2010s underground emo movement,,emo
emo rock,music genre,,emo
emo trap,music genre,,trap music
emo violence,music genre,,screamo
emotional hardcore,music genre,1984,emo
empfindsamkeit,style of musical composition developed in 18th-century Germany,1750,Baroque music
enka,Japanese music genre,1950,music of Japan
enka / kayokyoku,music genre,,enka
enka metal,music genre,,enka
ensalada,music genre,,polyphony
entechna laika,music genre,,laïko
entrée,march-like piece played during the entrance of a dancing group,,ballet
environmental music,music genre,,ambient music
epadunk,music genre,,music of Sweden
epic collage,music genre,2008,electronic music
epic doom metal,subgenre of doom metal,1985,doom metal
epic heavy metal,music genre,,heavy metal music
epic house,"music genre, cinematic, symphonic sound, often with long tracks",,progressive house
epic metal,sub-genre of heavy metal music,,heavy metal music
epic music,"form of cinematic classical, characterized by moving, dramatic and emotional melodies, heavy percussion, massive orchestral instrumentation focusing on prominent and repeating string, horn chord progressions, choral parts utilized to create tension",2001,cinematic classical
epinikion,genre of poetry: choral victory song in ancient Greek literature,,song
erotic-patriotic,music genre from Armenia,,music of Armenia
estampie,medieval dance and musical form,,dance
estilo,type of Argentinean folk music indigenous to the Pampas region,,Argentine folklore
estrada music,"musical genre, emerged in the Soviet Union",1930,popular music
ethereal wave,music genre,1982,post-punk
ethnic electronica,electronic music genre,,electronica
ethnic fusion,music genre,,world music
ethnic music,"music, the classification of which is based on the division by ethnic groups",,music
ethnic pop,"musical trend that seeks to integrate ethnic elements (musical structures, instruments, costumes) into pop music culture",,pop music
ethnic rock,subgenre of world music,,rock music
ethno jazz,music genre,1950,jazz
ethno metal,music genre,,metal music
ethnopop,music genre,,pop music
euphoric hardstyle,music genre,2008,hardstyle
euskal kantagintza berria,cultural movement born in the Basque Country during the 1960s inspired by nova cançó and chanson,,singer-songwriter music
event music,music composed or adapted for events,,functional music
execution ballad,music genre,,ballad
exotica,music genre involving tropical ersatz,1948,easy listening
experimental ambient,music genre,,ambient music
experimental big band,music genre,,big band
experimental club music,music genre,,electronic dance music
experimental dub,music genre,1992,dub music
experimental electro,music genre,,electro
experimental electronic music,music genre,,electronic music
experimental hip-hop,subgenre of hip-hop,,hip-hop
experimental jungle,music genre,,jungle
experimental music,a general label for any music or music genre that pushes existing boundaries and genre definitions,1960,music
experimental pop,pop music that cannot be categorized within traditional musical boundaries,,pop music
experimental rock,type of music based on rock,1966,rock music
experimental techno,music genre,,techno
expressionist music,western movement in music,1908,modern classical music
extempo,music genre,,calypso
extratone,subgenre of speedcore,2006,speedcore
extreme metal,any of a number of related heavy metal music subgenres,1977,metal music
fado,Portuguese music genre,1900,Portuguese folk music
falak,music genre,,Pamiri music
famo,"type of music from Lesotho, consisting of singing accompanied by the accordion, a drum, and occasionally a bass",1920,music of Southern Africa
fandango,popular dance and music genre typical of Spain and some places in Latin America,,Spanish folk music
fandango caiçara,music genre,,Brazilian folk music
fandanguillo of Guadahortuna,music genre,,fandango
fanfare,relatively short piece of music that is typically played brass instruments,,composed musical work
fantasia,free form musical interpretation; musical composition with a free form and often an improvisatory style,,composed musical work
far-right rap,music genre,,rapping
fast polka,music genre and type of dance,,polka
fauxbourdon,"composition technique in polyphonic music of Western Europe, mainly of the XV-XVI centuries; instrumental music genre in XVI century Spain",,
feminist music,music genre,,feminist art
fenta,music genre,,gangar
festejo,music genre and type of dance,1900,Afro-Peruvian music
festival progressive house,subgenre of house music,2008,house music
festival trap,music genre,2012,EDM trap music
fidget house,subgenre of house music,2005,electro house
field holler,historical type of vocal music,,work song
fife and drum blues,folk music,,blues
fife and drum corps,military musical ensemble,,marching band
fijiri,music genre,,singing
filin,Cuban song genre,,music of Cuba
filk,folk music of science fiction fandom,1940,nerd-folk
film score,"original music written specifically to accompany a film, part of the film's soundtrack",,film soundtrack
film soundtrack,recorded music accompanying and synchronized to the images of a motion picture,,soundtrack
filmi pop,music genre or scene,1966,Indian pop
filter house,music genre,,house music
final music,music genre; type of composition,,serenade
first wave black metal,music genre,1983,black metal
fixed media,"compositions that are recorded or produced in a fixed format, and cannot be altered or interacted with during a performance",,electronic music
fkirettes,music genre,,
flamenco,genre of Spanish music and dance,1774,folk dance
flamenco chill,music genre,,flamenco
flamenco jazz,music genre,1967,jazz
flamenco pop,music genre,,flamenco
flamenco rock,Spanish rock music genre,,rock music
flashcore,music genre,1998,experimental electronic music
flex dance music,music genre,2014,dancehall
folk and roll,music genre,1990,folk rock
folk baroque,music genre,1962,contemporary folk music
folk dance music,music genre,,traditional folk music
folk jazz,music genre,1955,jazz
folk metal,fusion genre of heavy metal music and traditional folk music,1991,metal music
folk music,"music meta-genre encompassing traditional folk music, contemporary folk music (evolved from the former during the 20th-century folk revival), and derivatives of these two branches",,music
folk punk,fusion of folk music and punk rock,1985,punk music
folk ragtime,music genre; subgenre of ragtime,,ragtime
folk revival music,music genre,,folk music
folk rock,fusion genre of folk and rock music,1964,rock music
"folk, world and country",music genre,,
folk-blues,music genre,,country blues
folk-polo,music genre,,popular folk music
folk-pop,music genre,,pop music
folkhop,genre of music that came about after decline of bhangra in the mid-1990s,,bhangra
folklore music,"the totality of the musical components of folklore, music that is a part of folklore performance",,traditional folk music
folktronica,"genre of electronic music which incorporates the sounds of acoustic instrumentation, with elements of folk music, commonly blended with sound of IDM and glitch-inspired editing and manipulation, as well as the tempo and atmosphere of downtempo",1993,electronica
fon leb,music genre and type of dance,,folk dance
football chant,song or chant usually sung at association football matches by fans,,song
footwork,music genre,2007,bass music (EDM)
footwork jungle,music genre,2011,drum and bass
forest psytrance,music genre,1998,psychedelic trance
forrocore,music genre,,
forró,music genre from the northeast region of Brazil,1900,dance music
forró de favela,music genre,,electronic forró
forró pé de serra,music genre,,
forró universitário,music genre,,forró
foxtrot,"musical rythm, style",,dance music
franco,"French-language music created in Quebec, in particular, and in French-speaking regions of Canada",,popular music
frapcore,music genre,,hardcore
frat rap,music genre,,pop rap
frat rock,musical subgenre of garage rock,1959,garage rock
freak folk,genre of folk music,1998,psychedelic folk
freak metal,subgenre of heavy metal,,metal music
freakbeat,subgenre/microgenre of rock and roll music,1965,garage rock
free car music,music genre,,drill
free folk,music genre,,psychedelic folk
free funk,music genre,1970,jazz-funk
free improvisation,subgenre of experimental music,1966,experimental music
free jazz,music genre,1960,avant-garde jazz
free rock,music genre,,rock music
free step,style of street dance,,street dance
free tekno,subgenre of hardtechno,1993,rave music
freeform hardcore,music genre,1995,hardcore
freestyle music,electronic dance music genre that fuses melodic vocal styles found in 1970s disco and 1980s dance-pop with synth instrumentation of electro and hip hop,1982,dance-pop
freestyle rap,a form of rap that relies on improvising music genre that fuses melodic vocal styles with instrumentation of hip hop,,rapping
freilach,"Jewish folk music genre, often in 4/4 or a stately 2/4 rhythm",,dance music
frevo,"dance and musical style originating from Recife, Pernambuco, Brazil",,music of Brazil
frevo de bloco,music genre,,frevo
frevo de rua,music genre,,frevo
frevo elétrico,music genre,,frevo
frevo-canção,music genre,,frevo
frottola,Italian song of the late 15th and early 16th century,,song
frühlingslied,"German songs to say goodbye to winter and greet the beginning spring, sung from the 13th to the 21st century",,song
fugue,contrapuntal musical form based on a subject that recurs in imitation,,classical music
fuguing tune,Variety of Anglo-American choral music,,choral music
fuji music,music genre from Yorubaland of Nigeria,,Yoruba music
full-on,subgenre of psytrance,1998,psychedelic trance
funaná,music genre from Cape Verde,1975,music of Cape Verde
functional music,"musical compositions composed or adapted to accompany activities or events, incite actions or emotions, or to use in particular locations",,music
funeral doom metal,heavy metal music genre,1991,doom metal
funeral march,"march, usually in a minor key",,march
funeral music,music for funerals or otherwise commemorating death,,event music
fungi,Musical style from British Virgin Islands,,Caribbean folk music
funk,"music genre that emerged in the 1960s, blending soul, jazz, and R&B, known for its syncopated basslines, groovy rhythms, and danceable energy",1965,popular music
funk 150 bpm,music genre,2017,funk carioca
funk automotivo,music genre,,funk mandelão
funk carioca,music genre originating from Rio de Janeiro,1980,Brazilian funk
funk consciente,music genre,,Brazilian funk
funk de BH,music genre,,Brazilian funk
funk mandelão,music genre,2016,Brazilian funk
funk melody,genre of Brazilian funk,1991,dance-pop
funk metal,subgenre of funk rock and alternative metal,1985,alternative metal
funk ostentação,Brazilian music style,2008,funk carioca
funk ousadia,music genre,2013,funk carioca
funk paulista,music genre,2013,funk carioca
funk proibidão,music genre,1990,funk carioca
funk rock,music genre that fuses funk and rock elements,1970,rock music
funk soul,genre of music,,soul
funkcore,music genre,,hardcore punk
funknejo,music genre,,sertanejo universitário
funkot,music genre,1999,electronic dance music
funkstep,subgenre of UK funky,2012,UK funky
funktronica,music genre,2001,electronica
funky breaks,subgenre of breakbeat,,breakbeat
funky house,subgenre of house music,1993,house music
furiant,Bohemian dance,,Czech folk dance
furniture music,background music for live performance; term coined by French composer Erik Satie,1917,classical music
fusion gugak,music genre,,music of Korea
future bass,EDM music genre originating in the 2010s,2010,bass music (EDM)
future bounce,music genre that fuses Melbourne bounce and future house,2015,future house
future core,music genre,,UK hardcore
future funk,music genre,2010,house music
future garage,genre of electronic music,2005,UK garage
future house,subgenre of house music,2013,house music
future rave,genre of electronic dance music,2019,electronic dance music
future riddim,music genre,2019,riddim
future trap,music genre,,EDM trap music
futurepop,genre of electronic dance music,1993,synth-pop
futurism,20th-century movement in music,1909,experimental music
futuristic swag,music genre,,pop rap
g-house,"deep, dark form of house music that primarily incorporates rap samples or original rapping on top of minimal, bassy beats",2013,house music
gaana,music genre of Tamil Nadu,,music of Tamil Nadu
gabber,subgenre of hardcore techno music,1992,hardcore
gabber metal,fusion of gabber and metal,,hardcore
gabber punk,music genre,,punk rock
gabberpop,genre of music combining gabber and pop,,pop music
gacha pop,music genre,,
gaga,Haitian music genre,,
gagaku,Japanese music genre,,traditional Japanese music
gagok,Korean lyric song cycles accompanied by an orchestra,,jeongak
gahu,music genre,,African folk music
gaita zuliana,Venezuelan music style,,music of Venezuela
galliard,form of Renaissance dance and accompanying music,,Renaissance music
galopa misionera,music genre and type of dance,,Argentinian folk dance
gambang koromong,music genre,,music of Tibet
gambang semarang,music genre,,music of Java
gambus,music genre,,music of Southeast Asia
game piece,concept in experimental music,,music genre
gamelan,style of traditional music originated in the island of Java in Indonesia,,Southeast Asian classical music
gamelan angklung,music genre,,Gamelan Bali
gamelan bebonangan,type of gamelan beleganjur,,gamelan beleganjur
gamelan beleganjur,type of Balinese gamelan music,,Gamelan Bali
gamelan bungbang,style of gamelan music,,gamelan
gamelan degung,Sundanese gamelan style,,gamelan
gamelan gadhon,style of gamelan music,,gamelan
gamelan gambang,style of gamelan music,,gamelan
gamelan gender wayang,Balinese variant of gamelan,,Gamelan Bali
gamelan gong gede,ceremonial type of Gamelan music from Bali,,Gamelan Bali
gamelan gong kebyar,Balinese gamelan variant,1915,Gamelan Bali
gamelan jegog,form of Gamelan music originating from the island of Bali,,Gamelan Bali
gamelan joged bumbung,style of gamelan music; dance,,gamelan
gamelan keraton yogyakarta,style of gamelan music,,gamelan
